date;births
1968-01-01;2080
1968-01-02;2319
1968-01-03;2335
1968-01-04;2338
1968-01-05;2319
1968-01-06;2212
1968-01-07;2083
1968-01-08;2252
1968-01-09;2261
1968-01-10;2295
1968-01-11;2233
1968-01-12;2284
1968-01-13;2168
1968-01-14;2166
1968-01-15;2366
1968-01-16;2368
1968-01-17;2331
1968-01-18;2267
1968-01-19;2286
1968-01-20;2301
1968-01-21;2139
1968-01-22;2268
1968-01-23;2290
1968-01-24;2345
1968-01-25;2254
1968-01-26;2324
1968-01-27;2303
1968-01-28;2232
1968-01-29;2335
1968-01-30;2352
1968-01-31;2303
1968-02-01;2327
1968-02-02;2399
1968-02-03;2228
1968-02-04;2198
1968-02-05;2391
1968-02-06;2516
1968-02-07;2398
1968-02-08;2402
1968-02-09;2515
1968-02-10;2410
1968-02-11;2189
1968-02-12;2268
1968-02-13;2359
1968-02-14;2396
1968-02-15;2392
1968-02-16;2298
1968-02-17;2204
1968-02-18;2136
1968-02-19;2299
1968-02-20;2372
1968-02-21;2290
1968-02-22;2247
1968-02-23;2286
1968-02-24;2342
1968-02-25;2081
1968-02-26;2296
1968-02-27;2272
1968-02-28;2261
1968-02-29;2305
1968-03-01;2371
1968-03-02;2385
1968-03-03;2200
1968-03-04;2394
1968-03-05;2391
1968-03-06;2416
1968-03-07;2386
1968-03-08;2352
1968-03-09;2454
1968-03-10;2235
1968-03-11;2470
1968-03-12;2389
1968-03-13;2269
1968-03-14;2399
1968-03-15;2409
1968-03-16;2477
1968-03-17;2274
1968-03-18;2391
1968-03-19;2450
1968-03-20;2442
1968-03-21;2473
1968-03-22;2355
1968-03-23;2370
1968-03-24;2174
1968-03-25;2501
1968-03-26;2441
1968-03-27;2294
1968-03-28;2356
1968-03-29;2441
1968-03-30;2456
1968-03-31;2288
1968-04-01;2448
1968-04-02;2361
1968-04-03;2381
1968-04-04;2370
1968-04-05;2344
1968-04-06;2454
1968-04-07;2208
1968-04-08;2344
1968-04-09;2348
1968-04-10;2344
1968-04-11;2434
1968-04-12;2414
1968-04-13;2435
1968-04-14;2275
1968-04-15;2285
1968-04-16;2516
1968-04-17;2464
1968-04-18;2399
1968-04-19;2431
1968-04-20;2502
1968-04-21;2391
1968-04-22;2518
1968-04-23;2427
1968-04-24;2358
1968-04-25;2286
1968-04-26;2356
1968-04-27;2404
1968-04-28;2268
1968-04-29;2495
1968-04-30;2459
1968-05-01;2409
1968-05-02;2466
1968-05-03;2421
1968-05-04;2551
1968-05-05;2303
1968-05-06;2563
1968-05-07;2447
1968-05-08;2474
1968-05-09;2428
1968-05-10;2547
1968-05-11;2478
1968-05-12;2278
1968-05-13;2499
1968-05-14;2584
1968-05-15;2537
1968-05-16;2440
1968-05-17;2410
1968-05-18;2387
1968-05-19;2250
1968-05-20;2526
1968-05-21;2384
1968-05-22;2419
1968-05-23;2301
1968-05-24;2483
1968-05-25;2364
1968-05-26;2397
1968-05-27;2377
1968-05-28;2427
1968-05-29;2470
1968-05-30;2333
1968-05-31;2364
1968-06-01;2359
1968-06-02;2237
