;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011
1990-01-31;1,017042;0,99002;3,33464;4,221116;6,670964;-0,592422;1,006307
1990-02-28;0,999503;1,010649;1,902423;0,94711;-4,981494;2,269766;1,001776
1990-03-31;1,035474;1,010229;9,639813;2,016481;6,647946;3,173317;0,988648
1990-04-30;1,000002;1,020757;-12,341519;-5,618767;-4,338557;-10,051354;0,995082
1990-05-31;0,990003;0,985779;-5,12773;7,442346;0,363589;1,967323;1,013083
1990-06-30;0,991241;0,881717;-1,886324;-2,226138;-4,187145;-4,912976;0,978464
1990-07-31;0,845266;0,112454;-6,633598;-0,405671;0,286359;-3,983589;0,991656
1990-08-31;1,001116;0,601727;33,027242;0,992337;0,573187;4,008875;1,029664
1990-09-30;1,003593;1,081745;-23,440108;-5,368885;-3,18722;-38,656881;0,930489
1990-10-31;1,005548;1,021919;12,585432;1,969172;6,202101;5,437711;1,037987
1990-11-30;1,003812;0,994317;11,529713;3,838977;-0,021274;7,387354;1,028309
1990-12-31;1,004254;0,953726;-0,578713;-14,284457;0,339482;-6,408386;0,954483
1991-01-31;0,996567;0,9919;-0,289285;1,598842;-2,412632;1,358676;1,031129
1991-02-28;0,987576;0,991517;-2,581149;-25,688719;-2,355306;-2,101509;1,00568
1991-03-31;0,995465;1,002987;-13,291592;-5,288916;18,650011;-6,377567;0,97166
1991-04-30;1,001555;0,986093;0,202357;6,104365;-9,184873;1,877837;1,008987
1991-05-31;1,007519;1,014237;4,987164;1,071977;21,981982;2,223399;0,994599
1991-06-30;1,007275;1,438582;-3,710448;-2,553748;-3,962954;-1,500501;0,938595
1991-07-31;0,98827;1,043422;4,776585;4,352513;0,881847;9,19227;1,047773
1991-08-31;0,999961;0,950273;-3,862816;-2,334929;-0,605582;-3,111584;0,99092
1991-09-30;1,001798;0,763754;0,347609;-1,596151;-0,596987;-5,678582;0,993774
1991-10-31;1,009072;0,949242;10,433116;4,974869;0,452632;3,419663;1,046497
1991-11-30;0,997436;1,014897;-9,958578;-2,384373;-3,732068;-1,293705;0,929898
1991-12-31;0,998293;1,03277;-10,467733;-2,535891;2,254643;5,22954;0,992092
1992-01-31;0,989809;0,997565;6,175432;-1,812397;-0,919687;1,717275;1,019295
1992-02-29;1,039261;1,008216;0,432558;-0,634871;8,2029;-2,643173;0,975302
1992-03-31;1,00564;0,980832;2,846295;3,696591;-7,189502;-2,597679;0,987434
1992-04-30;1,003664;0,991715;14,233819;3,962887;4,288454;10,346475;1,056773
1992-05-31;0,996715;1,035758;-4,325002;-2,565165;-9,92908;-6,578911;0,898611
1992-06-30;0,990351;1,005582;2,175569;-0,178527;1,418546;15,496081;1,020383
1992-07-31;1,014193;0,999062;2,33799;-1,173254;0,07324;-0,784238;1,017079
1992-08-31;1,00594;0,978611;-5,639868;-3,129226;5,371135;-13,869125;0,952433
1992-09-30;0,996583;0,948324;-8,338773;3,143608;4,973849;0,654927;1,024813
1992-10-31;0,977977;1,077728;-10,914723;-1,5003;-4,219443;-0,801072;0,967197
1992-11-30;0,989095;0,962409;3,86242;1,297909;10,466625;-2,372683;0,994183
1992-12-31;0,998622;0,981192;3,338873;-0,902258;-8,646223;-0,351383;1,058198
1993-01-31;1,001054;1,026156;-29,631346;-0,717562;-3,982452;1,900807;0,929532
1993-02-28;1,017906;0,992893;8,946934;4,035311;4,900423;2,3198;1,005287
1993-03-31;0,992185;1,017923;2,075977;-2,114538;-4,767851;5,138891;1,02643
1993-04-30;1,026979;1,00092;1,959508;0,444107;0,209044;-0,230433;0,979983
1993-05-31;1,007311;0,990444;-20,142711;-3,47881;-0,739391;-7,186841;0,902959
1993-06-30;0,994217;0,972472;-3,042464;2,17052;3,314666;-0,921263;1,052981
1993-07-31;0,999522;1,0135;6,667762;1,421501;1,475314;1,349253;0,97977
1993-08-31;0,977605;1,046194;1,19978;1,426825;-5,640437;-6,168432;0,999079
1993-09-30;0,97525;0,69566;12,101352;2,448339;3,739196;7,088387;1,015512
1993-10-31;0,996997;0,941445;-10,171522;-7,296675;-2,346053;-4,096803;0,96024
1993-11-30;1,011898;1,067351;-6,994637;-5,017334;6,103501;3,187267;1,032483
1993-12-31;1,032957;1,042731;7,598937;3,549594;0,615616;4,748009;1,012127
1994-01-31;1,011275;0,800737;-4,039406;0,983908;23,347032;-3,269785;0,974245
1994-02-28;0,994886;1,002544;-21,35806;-4,36276;-5,523948;-3,771883;0,998358
1994-03-31;1,001424;0,990943;16,353498;5,640777;-12,376178;-1,491253;1,040756
1994-04-30;0,990921;0,999371;-16,991836;-4,272368;1,930485;0,351552;0,981797
1994-05-31;0,994447;0,922572;14,437998;1,96474;4,531437;4,754034;0,985551
1994-06-30;1,020413;1,067392;9,495302;3,259569;3,007138;2,698397;1,004645
1994-07-31;0,991426;1,007564;-9,85571;-7,610281;2,199836;-1,148979;0,948445
1994-08-31;1,000439;1,044821;6,761615;5,68364;-4,187286;-2,314835;1,043267
1994-09-30;1,013766;0,798418;-6,612909;-1,722748;-7,006438;0,364654;1,008618
1994-10-31;0,992622;0,958241;0,721885;-8,41199;15,827057;-1,902076;0,981648
1994-11-30;1,005346;0,995611;-0,103597;4,897411;-4,45818;-1,160598;1,021156
1994-12-31;0,998713;0,9883;-4,203754;4,637363;12,04291;16,063251;0,985787
1995-01-31;0,989008;1,03413;1,6629;-4,283601;1,502379;-2,065876;0,992223
1995-02-28;0,990971;0,997759;-3,679633;0,580664;-11,275196;3,560646;1,000563
1995-03-31;1,016562;0,9796;0,039691;-0,113696;5,741696;3,826233;1,022696
1995-04-30;0,991599;0,979337;-1,076884;-5,051548;-1,533685;-5,176829;0,962251
1995-05-31;1,001858;1,086534;8,363743;4,510813;0,461036;0,237185;1,038285
1995-06-30;1,012854;0,641133;5,779517;0,999077;0,831215;4,191075;0,999745
1995-07-31;0,984758;0,674072;-10,684168;-5,546275;-2,887124;-12,326107;0,965247
1995-08-31;1,005245;0,959593;4,234141;2,342672;9,334325;14,845059;1,033881
1995-09-30;0,993205;1,103375;4,30633;-0,082761;-0,941516;-1,226584;0,976385
1995-10-31;1,014147;1,021481;-6,964454;2,368117;-5,500101;-5,745885;1,015619
1995-11-30;1,100782;0,994583;8,405641;6,027918;-8,137755;-0,489894;1,006917
1995-12-31;0,990284;0,967214;-18,595837;-6,074095;2,76785;-13,590663;0,931586
1996-01-31;1,012068;0,994066;7,163197;2,73701;-0,036978;12,062628;1,061351
1996-02-29;0,995743;1,006636;4,311842;-9,527599;4,642218;2,006313;1,023066
1996-03-31;0,986238;1,039301;-23,210661;-4,519075;6,287005;3,195407;0,953888
1996-04-30;1,008943;1,019488;0,459335;6,09976;2,604001;-2,03355;1,000278
1996-05-31;1,001296;1,158036;0,309362;2,063716;0,605705;1,486586;1,031606
1996-06-30;0,997594;0,946338;-12,970512;-3,761237;-6,954885;-3,373924;0,972646
1996-07-31;1,005092;0,614046;11,710234;8,579157;-6,52516;-0,546163;1,134761
1996-08-31;1,015826;0,968469;0,14842;-1,116525;-4,379801;5,639564;1,066605
1996-09-30;0,99658;1,162929;-6,704546;-3,550143;-2,414893;-0,769545;1,034682
1996-10-31;0,984741;1,049239;17,408854;4,334377;7,616627;6,828004;1,081273
1996-11-30;1,004268;1,013987;-6,114292;-5,085232;5,269305;-2,763681;0,989342
1996-12-31;1,000797;1,002807;5,076794;0,37498;-28,732723;-8,825516;1,012151
1997-01-31;0,99299;0,992585;-0,77005;-14,433638;1,962306;-4,368796;1,047059
1997-02-28;1,024912;0,975502;7,576663;5,542297;12,221696;0,220396;1,018645
1997-03-31;0,997752;0,982542;-8,675386;-4,076483;-31,960174;-4,179117;0,970771
1997-04-30;1,006472;1,001918;48,093852;14,460855;9,165119;7,279475;1,124114
