;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011
1990-01-31;1,011738;1,077231;21,429518;-18,422786;11,933165;3,118149;1,04157
1990-02-28;0,90652;0,998192;4,312268;-13,470257;-1,672778;-5,637297;0,886477
1990-03-31;1,021994;1,108304;25,751797;6,715295;-3,298319;6,880611;1,022154
1990-04-30;0,994954;1,056266;5,074076;8,400414;1,683117;3,919491;1,006408
1990-05-31;1,027079;1,069644;-9,940631;2,949761;-17,31913;-0,550026;1,002161
1990-06-30;0,981693;0,731373;8,23511;17,599985;2,30256;8,025363;0,981962
1990-07-31;1,012623;0,987883;10,888205;16,357034;-1,08858;32,553167;1,010547
1990-08-31;1,004567;1,057517;-58,346509;-19,315827;-36,454964;-65,268475;1,002211
1990-09-30;0,991039;0,907351;28,676823;8,445495;16,620414;8,233869;1,010007
1990-10-31;1,03871;0,953266;17,555829;16,591772;6,103293;12,363855;1,044007
1990-11-30;0,991559;0,998117;-5,026431;-1,148773;11,721494;3,782364;0,994328
1990-12-31;1,016391;1,055296;-47,667498;-24,357262;9,594598;-7,455231;1,0009
1991-01-31;1,012986;1,080025;20,109179;-18,749356;11,844747;2,731929;1,034807
1991-02-28;0,907688;0,998485;3,703509;-13,750412;-2,100445;-5,478531;0,888724
1991-03-31;1,022012;1,10805;26,048714;6,948067;-3,546266;7,374046;1,029507
1991-04-30;0,993576;1,055242;4,158859;7,874632;1,958272;3,660393;1,000765
1991-05-31;1,026656;1,0589;-8,627566;3,03511;-16,671872;-0,536465;1,002093
1991-06-30;0,983074;0,734409;9,129234;18,263522;3,127864;8,623326;0,986186
1991-07-31;1,011654;0,990171;10,32786;15,820901;-1,255379;32,250627;1,002383
1991-08-31;1,00397;1,060332;-56,919513;-18,55125;-37,217187;-65,210738;1,007702
1991-09-30;0,991667;0,906646;28,999401;8,82823;16,017162;8,763954;1,01219
1991-10-31;1,037332;0,949832;16,763286;15,978232;6,145792;11,491244;1,03842
1991-11-30;0,992854;1,002426;-5,348816;-1,066587;11,06809;3,249898;0,996625
1991-12-31;1,016439;1,058956;-46,988396;-23,68743;10,770965;-7,612401;1,001573
1992-01-31;1,012805;1,087092;17,800225;-19,849519;11,739499;2,203686;1,025605
1992-02-29;0,908871;0,997803;2,393908;-14,125511;-2,861697;-4,850629;0,892861
1992-03-31;1,022944;1,104654;25,484839;7,042905;-3,446127;8,2403;1,041146
1992-04-30;0,990673;1,049963;3,752508;7,210817;2,296857;3,170006;0,99113
1992-05-31;1,026372;1,048158;-5,628745;3,303786;-15,803766;-0,593877;1,005052
1992-06-30;0,986424;0,737404;10,813175;19,369261;4,485696;10,051093;0,993116
1992-07-31;1,009892;0,996006;9,40013;14,832287;-2,03795;31,823719;0,989758
1992-08-31;1,003688;1,05421;-54,727919;-17,536347;-37,644553;-64,74435;1,014311
1992-09-30;0,991713;0,906883;29,440918;9,807387;15,192906;9,505738;1,01545
1992-10-31;1,036109;0,949492;14,583495;15,347049;5,370178;9,813734;1,030162
1992-11-30;0,993869;1,009416;-5,73897;-0,99704;9,258402;1,834959;0,995982
1992-12-31;1,016104;1,0657;-46,137728;-23,317406;12,644617;-7,849686;1,004139
1993-01-31;1,013823;1,093966;15,391308;-20,910812;12,432464;1,549363;1,018854
1993-02-28;0,909936;0,999214;0,864693;-15,027743;-3,480881;-3,827887;0,899046
1993-03-31;1,0233;1,101712;24,954878;7,219481;-2,17913;9,553898;1,049459
1993-04-30;0,987252;1,045132;3,164429;6,643784;2,57336;2,474989;0,982277
1993-05-31;1,024553;1,03132;-2,246103;3,836993;-15,054723;-0,238409;1,011422
1993-06-30;0,989329;0,736585;11,879041;20,302759;5,241836;11,37295;0,998249
1993-07-31;1,01033;0,996871;8,579775;13,93299;-3,750002;30,54994;0,976773
1993-08-31;1,005355;1,04475;-52,240535;-16,651895;-38,062683;-62,722133;1,020159
1993-09-30;0,99202;0,91172;28,637551;10,618859;13,961707;9,924818;1,016553
1993-10-31;1,033643;0,964772;13,430909;15,079073;5,357974;8,665342;1,024519
1993-11-30;0,994168;1,017623;-5,177778;-1,021041;7,422866;-0,055948;0,992125
1993-12-31;1,016126;1,068834;-43,877618;-22,98987;14,500693;-9,551064;1,007574
1994-01-31;1,014132;1,100283;12,175053;-21,857931;13,523339;0,96669;1,015837
1994-02-28;0,912107;0,996891;0,276046;-15,143648;-4,304729;-2,127077;0,908002
1994-03-31;1,022839;1,097026;22,871996;6,454907;0,128956;10,865854;1,051379
1994-04-30;0,984307;1,039245;2,20677;6,165005;2,171281;2,096409;0,974322
1994-05-31;1,022305;1,012765;-0,180185;4,1459;-14,691704;0,125606;1,01779
1994-06-30;0,990878;0,734246;11,859798;20,824497;5,766896;12,225276;1,00003
1994-07-31;1,011878;0,998272;8,55757;14,057825;-5,330391;29,049699;0,970672
1994-08-31;1,005629;1,032994;-50,483903;-16,334422;-38,859609;-59,652155;1,022383
1994-09-30;0,991894;0,924002;29,139394;11,541352;13,086891;9,69479;1,016342
1994-10-31;1,032946;0,981441;14,153857;15,501232;5,731241;8,036826;1,024288
1994-11-30;0,993922;1,029213;-4,511611;-2,003515;4,944237;-1,865449;0,982918
1994-12-31;1,017914;1,076938;-40,584176;-23,127442;16,309953;-11,761467;1,012171
1995-01-31;1,015963;1,099235;8,009927;-22,001801;15,749928;0,861762;1,017655
1995-02-28;0,914114;0,99484;-1,084188;-15,088673;-5,229682;-0,61573;0,914441
1995-03-31;1,021481;1,086756;21,663359;6,152283;3,381127;11,534508;1,047101
1995-04-30;0,9813;1,037172;0,479693;5,77932;0,404121;2,101519;0,976372
1995-05-31;1,017938;0,982354;0,841802;4,050358;-14,069273;0,844123;1,018874
1995-06-30;0,989154;0,732383;11,207094;20,842125;4,93356;12,034087;0,996853
1995-07-31;1,01621;0,999069;9,075534;14,66032;-7,118669;27,059929;0,972453
1995-08-31;1,006462;1,029073;-49,413753;-16,724183;-39,356954;-55,746053;1,020699
1995-09-30;0,993235;0,942274;28,62192;12,167609;12,493364;8,931605;1,014759
1995-10-31;1,032558;1,007538;17,403188;16,260729;7,071358;8,872919;1,026996
1995-11-30;0,992666;1,041311;-2,998248;-3,017429;3,512751;-3,248127;0,974077
1995-12-31;1,021264;1,079124;-36,640505;-22,986076;17,64761;-14,575751;1,017821
1996-01-31;1,015884;1,091052;2,96625;-22,023128;17,161428;1,306983;1,020208
1996-02-29;0,916597;0,98782;-2,933725;-14,546082;-5,831461;0,582387;0,919194
1996-03-31;1,020829;1,076609;19,459624;5,731789;6,146859;11,454074;1,039252
1996-04-30;0,977928;1,027345;-0,144494;5,683774;-2,611791;2,537884;0,982558
1996-05-31;1,014296;0,957208;0,500515;3,360202;-13,200356;0,869905;1,015752
1996-06-30;0,985424;0,734895;11,221851;20,78936;4,056319;11,39868;0,992389
1996-07-31;1,020435;1,004372;10,276718;15,569917;-7,964556;25,343553;0,981226
1996-08-31;1,006888;1,026128;-48,727323;-17,658833;-39,196046;-51,938189;1,01633
1996-09-30;0,993713;0,965703;28,813894;12,972333;12,921675;8,166591;1,01298
