;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011
1990-01-31;391,299557;2801,195097;226,704307;113,940128;96,702306;114,784882;106,768314
1990-02-28;379,244602;2833,693801;228,304485;110,487046;84,488981;117,672611;106,700638
1990-03-31;386,952328;2824,707484;238,994672;111,543431;95,473175;118,723922;105,986093
1990-04-30;367,988865;2851,962849;220,101329;103,973478;83,825185;105,653323;107,417123
1990-05-31;359,467339;2776,779119;230,564929;117,141147;88,017387;117,843909;110,111739
1990-06-30;356,802518;2547,126249;237,449365;107,727839;83,065657;111,231428;107,123739
1990-07-31;303,425509;337,491473;236,469538;109,941029;87,215506;112,409335;109,363354
1990-08-31;359,923641;1875,005323;279,84764;111,943266;87,360503;120,604881;114,421422
1990-09-30;361,41043;3452,229408;226,630449;106,312383;83,589264;77,968961;104,048176
1990-10-31;361,758689;3271,57711;265,195872;114,527982;93,089462;121,983348;116,65144
1990-11-30;359,295815;3127,851937;265,663785;117,311395;87,058208;123,727672;115,953731
1990-12-31;356,560428;2911,487816;254,020899;100,036826;87,66165;109,600652;107,84143
1991-01-31;351,09625;2943,877843;253,882732;116,633438;85,146896;116,939851;116,627087
1991-02-28;346,178066;2908,986015;250,457724;89,865983;85,412972;113,021795;113,813815
1991-03-31;348,466184;2960,772384;238,158495;110,569565;106,606819;108,373926;110,03734
1991-04-30;351,24739;2949,550494;249,913876;122,013411;79,005621;116,479152;114,404912
1991-05-31;354,726024;3059,317218;253,088756;116,766748;110,537714;116,970347;112,973183
1991-06-30;356,177146;4328,58665;243,113428;112,682267;85,160106;113,701865;106,873441
1991-07-31;350,679593;3103,862452;250,771303;118,955355;90,798476;125,128182;119,677089
1991-08-31;355,422075;2787,420297;241,737093;111,512333;90,300292;113,722411;113,577775
1991-09-30;356,025335;2219,006841;245,861085;111,429982;91,438139;112,079919;114,346059
1991-10-31;358,149225;2757,379088;256,002865;117,120184;93,695847;122,019042;120,891938
1991-11-30;353,409467;2971,628606;235,616965;108,804382;90,780246;117,962857;107,819307
1991-12-31;353,162081;3060,600052;234,85653;107,635473;98,078369;124,943212;115,407098
1992-01-31;349,566233;2984,001362;250,815368;107,318357;96,261769;121,692469;118,854794
1992-02-29;366,458399;3020,089197;243,828193;107,451072;106,743417;117,352725;113,863721
1992-03-31;354,224294;2912,942703;244,364722;110,733453;92,567743;117,182129;115,293306
1992-04-30;352,929092;2887,54709;253,280412;109,957049;105,014854;129,662514;123,253935
1992-05-31;349,210977;2929,508314;231,756876;102,379453;91,439587;112,046118;104,571983
1992-06-30;344,578526;2748,850147;235,112373;103,762342;103,034476;133,315219;118,375803
1992-07-31;349,249097;2628,817097;232,277854;101,816149;101,513441;116,188235;117,524197
1992-08-31;341,932694;2480,774492;221,660696;98,952232;106,210907;102,231799;109,538637
1992-09-30;334,330346;2933,776038;216,897441;104,385784;104,90089;115,90359;117,299527
1992-10-31;324,380921;3270,53444;212,903304;98,962246;94,583306;113,522621;110,195088
1992-11-30;325,438249;2901,018627;227,04141;101,075494;108,077049;110,890097;112,828699
1992-12-31;327,326931;2963,61914;226,704215;98,339491;87,816133;111,683711;119,74562
1993-01-31;327,975383;3110,937429;194,458129;98,078106;91,490272;112,517342;104,955645
1993-02-28;333,692795;3014,29228;233,967074;102,399485;99,676048;111,416833;113,335722
1993-03-31;324,79762;3090,387357;227,989849;95,794815;89,729751;112,715778;115,59646
1993-04-30;334,765962;3043,628151;228,422612;97,8257;94,942856;105,888668;110,21814
1993-05-31;326,363049;3015,141625;206,414963;93,353882;94,649624;97,584132;101,360103
1993-06-30;320,561175;2954,229162;223,119349;98,485737;99,643736;102,65832;117,916816
1993-07-31;322,143331;3079,128986;231,945806;97,275814;98,823099;103,926285;109,391091
1993-08-31;317,022806;3185,642278;225,357264;96,959985;92,662627;95,656686;111,186561
1993-09-30;320,125875;2124,569283;235,12732;97,828872;102,868272;108,452703;112,606003
1993-10-31;332,386213;2882,451903;211,915364;88,137978;97,502397;97,093309;106,016571
1993-11-30;342,550392;3274,143524;214,421222;90,745756;106,556277;104,458497;113,448887
1993-12-31;353,382499;3192,950847;228,595074;99,887429;101,559801;106,277974;110,620175
1994-01-31;347,420415;2443,99526;216,799699;98,098842;124,678071;98,583941;105,887186
1994-02-28;341,244496;3056,403251;199,518983;93,711167;96,063186;98,391727;107,937171
1994-03-31;341,502961;3037,756684;237,381046;104,810582;89,407406;100,910123;111,971296
1994-04-30;335,608326;3111,77696;204,248251;96,08776;103,909663;102,911629;105,171067
1994-05-31;334,65508;2941,723024;235,876465;103,542739;106,74095;107,486123;105,231386
1994-06-30;341,41907;3484,211593;230,998155;105,966873;105,53162;105,665294;107,02497
1994-07-31;329,64222;3326,440537;211,453833;96,027213;105,162584;102,102152;100,906774
1994-08-31;329,889387;3435,442095;227,695473;110,037611;99,396081;101,299915;111,006806
1994-09-30;330,227745;2583,738101;213,883861;103,115124;97,338695;104,453501;107,445856
1994-10-31;318,464924;3032,418052;220,8454;96,693551;121,028866;102,762332;104,796051
1994-11-30;317,253183;3078,524218;219,921367;110,078773;101,711714;104,233243;109,318553
1994-12-31;310,274957;3009,699873;215,975573;109,685534;119,280874;122,298052;105,841681
1995-01-31;303,508135;3135,737689;222,270705;100,483149;109,854936;105,095308;106,871382
1995-02-28;301,565205;3025,419565;217,568724;104,990168;98,144126;111,702403;108,107943
1995-03-31;307,96692;2964,337194;221,947579;103,933877;116,057215;112,932261;110,795401
1995-04-30;299,510169;2942,761303;221,325666;98,65274;109,361895;104,818279;104,500706
1995-05-31;301,659213;3239,615216;230,939963;107,871373;111,555855;111,060704;113,036782
1995-06-30;303,82895;1904,301498;228,000934;103,95133;111,799476;115,834498;109,08605
1995-07-31;293,753835;2003,225958;210,681046;96,939719;107,785175;100,247866;105,535046
1995-08-31;297,751918;2861,749562;224,192263;104,279995;119,69239;128,549927;113,221278
1995-09-30;291,825771;3301,004005;222,280295;101,195063;109,166351;113,816608;107,027258
1995-10-31;295,006424;3064,17713;208,614496;102,915322;104,392725;110,83944;111,39433
1995-11-30;316,181647;2987,26056;221,263871;105,743922;101,450733;117,781653;110,448803
1995-12-31;280,401935;2898,388499;191,439344;92,726829;111,90313;106,448089;102,153665
1996-01-31;282,131349;2946,985622;214,453162;100,600637;108,497849;133,882705;116,323776
1996-02-29;273,154876;2926,818091;209,096913;87,433907;112,51867;125,505811;112,024152
1996-03-31;266,532741;2928,443701;179,420203;91,564631;113,545137;128,0969;104,304744
1996-04-30;268,835677;2744,910383;201,394019;101,38213;109,364167;123,876261;109,212614
1996-05-31;262,827304;2945,96163;200,028024;96,641645;107,09058;127,87849;112,474072
1996-06-30;257,160595;2277,290657;186,004059;90,208728;99,596768;122,886456;105,904215
1996-07-31;253,54542;1419,951912;210,375644;102,079061;100,47136;125,032761;123,434339
1996-08-31;249,838435;2205,146114;198,832147;92,024366;103,433117;130,164497;115,918759
1996-09-30;238,367202;2660,897726;192,172753;89,325713;106,609882;122,519932;112,365738
1996-10-31;229,175653;2433,059245;216,519114;97,046157;118,280104;128,937334;117,37124
1996-11-30;228,167217;2376,755868;193,138255;87,566075;117,910152;118,371791;107,355672
1996-12-31;222,94208;2359,315396;204,313374;93,137982;86,096241;111,610892;109,850962
1997-01-31;217,866256;2337,894127;198,371429;78,676289;118,979609;115,670675;113,71289
1997-02-28;222,371077;2313,291672;206,682781;99,195357;131,197294;120,113761;110,73203
