;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011
1990-01-31;384,742863;2829,432638;223,369667;109,719012;90,031341;115,377304;106,099193
1990-02-28;379,43319;2803,836955;226,402062;109,539935;89,470475;115,402844;106,511434
1990-03-31;373,695784;2796,1051;229,354859;109,52695;88,82523;115,550605;107,203082
1990-04-30;367,988201;2793,969316;232,442848;109,592245;88,163741;115,704677;107,947989
1990-05-31;363,097276;2816,836229;235,692659;109,698801;87,653798;115,876586;108,689737
1990-06-30;359,955409;2888,825315;239,335689;109,953977;87,252803;116,144404;109,481527
1990-07-31;358,970518;3001,161507;243,103136;110,3467;86,929148;116,392924;110,283571
1990-08-31;359,522397;3116,03882;246,820398;110,950929;86,787316;116,596006;111,125044
1990-09-30;360,116438;3191,351664;250,070557;111,681269;86,776484;116,625842;111,820985
1990-10-31;359,762837;3201,405587;252,610439;112,55881;86,887361;116,545637;112,382329
1990-11-30;357,93141;3145,730606;254,134071;113,472419;87,079481;116,340319;112,761584
1990-12-31;355,049987;3052,750324;254,599612;114,321283;87,322168;116,009038;112,984086
1991-01-31;352,305857;2967,918116;254,172017;115,034595;87,559529;115,581174;113,106248
1991-02-28;350,53304;2933,87375;253,038873;115,554702;87,768278;115,123305;113,171025
1991-03-31;350,053597;2951,953772;251,450087;115,858481;87,956808;114,751494;113,246792
1991-04-30;350,701967;2991,148794;249,71152;115,909046;88,190494;114,601315;113,385861
1991-05-31;352,078887;3016,374461;248,101592;115,69477;88,555732;114,746948;113,586619
1991-06-30;353,604762;3008,925257;246,823876;115,236015;89,12306;115,202366;113,865367
1991-07-31;354,841848;2974,694899;245,994718;114,602842;89,916629;115,935912;114,2204
1991-08-31;355,435797;2933,282493;245,599909;113,847262;90,905874;116,833995;114,618457
1991-09-30;355,386457;2905,39286;245,513476;113,026133;92,035126;117,758501;115,062433
1991-10-31;354,929332;2904,823027;245,569749;112,145315;93,243214;118,599379;115,520583
1991-11-30;354,31808;2928,010982;245,575543;111,188755;94,512313;119,256562;115,947436
1991-12-31;353,766016;2963,487342;245,324263;110,171364;95,823726;119,713672;116,326995
1992-01-31;353,165188;2991,284363;244,639936;109,130753;97,181457;119,975194;116,604957
1992-02-29;352,614414;2995,47903;243,395636;108,085942;98,540518;119,995898;116,747142
1992-03-31;352,237841;2969,869588;241,518428;107,036863;99,757245;119,779807;116,760473
1992-04-30;351,640702;2911,671558;239,046593;105,994162;100,7264;119,316039;116,632348
1992-05-31;350,361776;2828,371224;236,081879;104,944618;101,368666;118,62503;116,370696
1992-06-30;347,935751;2733,590329;232,936804;103,940869;101,615929;117,819138;116,011101
1992-07-31;344,36155;2631,286389;229,939864;102,989403;101,440201;116,972473;115,550695
1992-08-31;339,913669;2534,994688;227,300565;102,081457;100,839772;116,100924;115,009292
1992-09-30;335,47663;3093,641911;225,236214;101,242176;99,927041;115,248663;114,459464
1992-10-31;331,685749;3034,658025;223,818027;100,462546;98,802749;114,323693;113,932435
1992-11-30;329,026215;3014,331489;223,178991;99,777585;97,610424;113,26278;113,488878
1992-12-31;327,778566;3020,425999;223,365341;99,241749;96,462356;112,035094;113,159926
1993-01-31;327,630103;3031,64058;224,089475;98,795668;95,472723;110,616536;112,912409
1993-02-28;327,822666;3035,869315;225,02014;98,364174;94,775625;109,097032;112,739671
1993-03-31;327,355803;3035,972258;225,913872;97,909353;94,497602;107,576887;112,619861
1993-04-30;325,971547;3040,829581;226,463104;97,381593;94,733812;106,119101;112,469417
1993-05-31;323,994216;3044,231677;226,557674;96,832692;95,389015;104,770973;112,253256
1993-06-30;322,425918;3037,855184;226,161813;96,315217;96,32907;103,579583;111,983804
1993-07-31;322,297326;3038,113459;225,278044;95,854313;97,347785;102,577032;111,649731
1993-08-31;324,285112;3044,982163;224,157485;95,533161;98,303064;101,825118;111,289051
1993-09-30;328,250098;3054,036064;223,025968;95,380533;99,129077;101,364315;110,885939
1993-10-31;333,387315;3061,732313;222,086886;95,434653;99,84845;101,190111;110,406352
1993-11-30;338,522682;3067,541703;221,415859;95,76309;100,452776;101,27123;109,879681
1993-12-31;342,107518;3062,103692;220,996137;96,337835;100,944185;101,529966;109,294773
1994-01-31;343,54689;3052,181824;220,839105;97,114934;101,331039;101,853726;108,686453
1994-02-28;342,998563;3048,648248;220,877043;98,073927;101,587134;102,16361;108,114667
1994-03-31;341,017244;3065,52087;221,027548;99,169805;101,783585;102,401377;107,586454
1994-04-30;338,683324;3113,736272;221,240087;100,360127;101,979178;102,560078;107,121041
1994-05-31;336,523768;3188,610398;221,438467;101,577999;102,209513;102,73209;106,7742
1994-06-30;334,589076;3264,229708;221,502852;102,707304;102,524481;102,966897;106,53015
1994-07-31;332,493015;3301,467167;221,309543;103,637494;102,962748;103,251131;106,39182
1994-08-31;329,744491;3288,066061;220,933858;104,35397;103,583367;103,61475;106,403067
1994-09-30;325,74364;3236,070741;220,49677;104,837872;104,345133;104,088847;106,527806
1994-10-31;320,831951;3164,56803;220,123515;105,105542;105,201808;104,664408;106,755215
1994-11-30;315,566316;3092,09448;220,024964;105,181362;106,169894;105,393841;107,053678
1994-12-31;310,674872;3045,330166;220,179328;105,048171;107,237964;106,234801;107,367707
1995-01-31;306,881272;3032,248305;220,607805;104,76675;108,352556;107,161184;107,709061
1995-02-28;304,312701;3032,215154;221,248357;104,409504;109,419322;108,141757;108,047155
1995-03-31;302,949546;3026,070055;221,907889;104,047573;110,315519;109,106028;108,336585
